Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,Deep_Blue_Aerosol_Optical_Depth_550_Land,AOD_550_Dark_Target_Deep_Blue_Combined,AOD_550_Dark_Target_Deep_Blue_Combined_QA_Flag
2017.0,8.0,3.0,19.0,35.0,10.0,60.0985221862793,-142.78988647460938,-9999.0,-9999.0,0.0
2017.0,8.0,3.0,19.0,35.0,10.0,60.10738754272461,-141.915283203125,-9999.0,-9999.0,0.0
2017.0,8.0,3.0,19.0,35.0,10.0,60.11040115356445,-141.19532775878906,-9999.0,-9999.0,0.0
2017.0,8.0,3.0,19.0,35.0,10.0,60.109413146972656,-140.4638214111328,-9999.0,-9999.0,0.0
2017.0,8.0,3.0,19.0,35.0,10.0,60.10483169555664,-139.78138732910156,-9999.0,-9999.0,0.0
2017.0,8.0,3.0,19.0,35.0,10.0,60.097267150878906,-139.13619995117188,-9999.0,-9999.0,0.0
2017.0,8.0,3.0,19.0,35.0,10.0,60.0876579284668,-138.54957580566406,-9999.0,-9999.0,0.0
2017.0,8.0,3.0,19.0,35.0,10.0,60.07634353637695,-138.002197265625,-9999.0,-9999.0,0.0
2017.0,8.0,3.0,19.0,35.0,10.0,60.06280517578125,-137.45770263671875,-9999.0,-9999.0,0.0
2017.0,8.0,3.0,19.0,35.0,10.0,60.04816818237305,-136.95045471191406,-9999.0,-9999.0,0.0
2017.0,8.0,3.0,19.0,35.0,10.0,60.031471252441406,-136.44119262695312,-9999.0,-9999.0,0.0
2017.0,8.0,3.0,19.0,35.0,10.0,60.01472473144531,-135.98153686523438,-9999.0,-9999.0,0.0
2017.0,8.0,3.0,19.0,35.0,10.0,59.99701690673828,-135.53805541992188,-9999.0,-9999.0,0.0
2017.0,8.0,3.0,19.0,35.0,10.0,59.97862243652344,-135.11289978027344,0.12000000569969416,-9999.0,0.0
2017.0,8.0,3.0,19.0,35.0,10.0,59.96015548706055,-134.71499633789062,0.049000002327375114,-9999.0,0.0
2017.0,8.0,3.0,19.0,35.0,10.0,59.94087600708008,-134.32533264160156,0.03200000151991844,-9999.0,0.0
2017.0,8.0,3.0,19.0,35.0,10.0,59.92068862915039,-133.94102478027344,0.04800000227987766,-9999.0,0.0
2017.0,8.0,3.0,19.0,35.0,10.0,59.900001525878906,-133.56808471679688,0.034000001614913344,-9999.0,0.0
2017.0,8.0,3.0,19.0,35.0,10.0,59.8796272277832,-133.2183380126953,0.03100000147242099,-9999.0,0.0
2017.0,8.0,3.0,19.0,35.0,10.0,59.858951568603516,-132.87918090820312,0.014000000664964318,-9999.0,0.0
2017.0,8.0,3.0,19.0,35.0,10.0,59.837852478027344,-132.5475616455078,0.02300000109244138,-9999.0,0.0
2017.0,8.0,3.0,19.0,35.0,10.0,59.81675720214844,-132.22872924804688,0.01500000071246177,-9999.0,0.0
2017.0,8.0,3.0,19.0,35.0,10.0,59.795101165771484,-131.91351318359375,0.017000000807456672,0.07000000332482159,3.0
2017.0,8.0,3.0,19.0,35.0,10.0,59.772891998291016,-131.6016845703125,0.017000000807456672,-9999.0,0.0
2017.0,8.0,3.0,19.0,35.0,10.0,59.75141906738281,-131.309814453125,0.01600000075995922,-9999.0,0.0
2017.0,8.0,3.0,19.0,35.0,10.0,59.72945785522461,-131.0205078125,-9999.0,-9999.0,0.0
2017.0,8.0,3.0,19.0,35.0,10.0,59.7077751159668,-130.7431182861328,0.01600000075995922,-9999.0,0.0
2017.0,8.0,3.0,19.0,35.0,10.0,59.68611145019531,-130.47354125976562,0.027000001282431185,-9999.0,0.0
2017.0,8.0,3.0,19.0,35.0,10.0,59.66387939453125,-130.2042236328125,0.025000001187436283,-9999.0,0.0
2017.0,8.0,3.0,19.0,35.0,10.0,59.64176940917969,-129.94322204589844,0.21000000997446477,-9999.0,0.0
2017.0,8.0,3.0,19.0,35.0,10.0,59.620208740234375,-129.69456481933594,-9999.0,-9999.0,0.0
2017.0,8.0,3.0,19.0,35.0,10.0,59.598140716552734,-129.44595336914062,-9999.0,-9999.0,0.0
2017.0,8.0,3.0,19.0,35.0,10.0,59.57664108276367,-129.2089385986328,0.035000001662410796,0.11600000550970435,3.0
2017.0,8.0,3.0,19.0,35.0,10.0,59.554508209228516,-128.97023010253906,0.029000001377426088,-9999.0,0.0
2017.0,8.0,3.0,19.0,35.0,10.0,59.53224563598633,-128.73504638671875,0.017000000807456672,0.06800000322982669,3.0
2017.0,8.0,3.0,19.0,35.0,10.0,59.50988006591797,-128.50350952148438,0.017000000807456672,0.08700000413227826,3.0
2017.0,8.0,3.0,19.0,35.0,10.0,59.48780059814453,-128.27920532226562,0.019000000902451575,0.0390000018524006,3.0
2017.0,8.0,3.0,19.0,35.0,10.0,59.46595001220703,-128.06124877929688,0.021000000997446477,-9999.0,0.0
