Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,Deep_Blue_Aerosol_Optical_Depth_550_Land,AOD_550_Dark_Target_Deep_Blue_Combined,AOD_550_Dark_Target_Deep_Blue_Combined_QA_Flag
2017.0,7.0,27.0,19.0,30.0,10.0,55.73179626464844,-141.3433074951172,-9999.0,-9999.0,0.0
2017.0,7.0,27.0,19.0,30.0,10.0,55.733787536621094,-140.6168212890625,-9999.0,-9999.0,0.0
2017.0,7.0,27.0,19.0,30.0,10.0,55.731781005859375,-139.94064331054688,-9999.0,-9999.0,0.0
2017.0,7.0,27.0,19.0,30.0,10.0,55.726539611816406,-139.30850219726562,-9999.0,-9999.0,0.0
2017.0,7.0,27.0,19.0,30.0,10.0,55.718650817871094,-138.71531677246094,-9999.0,-9999.0,0.0
2017.0,7.0,27.0,19.0,30.0,10.0,55.70859909057617,-138.1568145751953,-9999.0,-9999.0,0.0
2017.0,7.0,27.0,19.0,30.0,10.0,55.69676208496094,-137.6293182373047,-9999.0,-9999.0,0.0
2017.0,7.0,27.0,19.0,30.0,10.0,55.683448791503906,-137.12973022460938,-9999.0,-9999.0,0.0
2017.0,7.0,27.0,19.0,30.0,10.0,55.668914794921875,-136.65536499023438,-9999.0,-9999.0,0.0
2017.0,7.0,27.0,19.0,30.0,10.0,55.653358459472656,-136.20387268066406,-9999.0,-9999.0,0.0
2017.0,7.0,27.0,19.0,30.0,10.0,55.636959075927734,-135.7732391357422,-9999.0,-9999.0,0.0
2017.0,7.0,27.0,19.0,30.0,10.0,55.619850158691406,-135.3616943359375,-9999.0,-9999.0,0.0
2017.0,7.0,27.0,19.0,30.0,10.0,55.60215759277344,-134.96763610839844,-9999.0,-9999.0,0.0
2017.0,7.0,27.0,19.0,30.0,10.0,55.58397674560547,-134.5896759033203,-9999.0,-9999.0,0.0
2017.0,7.0,27.0,19.0,30.0,10.0,55.565391540527344,-134.22653198242188,-9999.0,-9999.0,0.0
2017.0,7.0,27.0,19.0,30.0,10.0,55.54646682739258,-133.8771209716797,-9999.0,-9999.0,0.0
2017.0,7.0,27.0,19.0,30.0,10.0,55.527252197265625,-133.5402069091797,-9999.0,-9999.0,0.0
2017.0,7.0,27.0,19.0,30.0,10.0,55.507843017578125,-133.21551513671875,-9999.0,-9999.0,0.0
2017.0,7.0,27.0,19.0,30.0,10.0,55.48800277709961,-132.89816284179688,-9999.0,-9999.0,0.0
2017.0,7.0,27.0,19.0,30.0,10.0,55.46836471557617,-132.59637451171875,-9999.0,-9999.0,0.0
2017.0,7.0,27.0,19.0,30.0,10.0,55.44853591918945,-132.3031005859375,-9999.0,-9999.0,0.0
2017.0,7.0,27.0,19.0,30.0,10.0,55.42860412597656,-132.01849365234375,-9999.0,-9999.0,0.0
2017.0,7.0,27.0,19.0,30.0,10.0,55.408485412597656,-131.74073791503906,-9999.0,-9999.0,0.0
2017.0,7.0,27.0,19.0,30.0,10.0,55.38832092285156,-131.47105407714844,-9999.0,-9999.0,0.0
2017.0,7.0,27.0,19.0,30.0,10.0,55.3682746887207,-131.2107696533203,-9999.0,-9999.0,0.0
2017.0,7.0,27.0,19.0,30.0,10.0,55.347957611083984,-130.95433044433594,-9999.0,-9999.0,0.0
2017.0,7.0,27.0,19.0,30.0,10.0,55.32768630981445,-130.70529174804688,-9999.0,-9999.0,0.0
2017.0,7.0,27.0,19.0,30.0,10.0,55.30714416503906,-130.45941162109375,-9999.0,-9999.0,0.0
2017.0,7.0,27.0,19.0,30.0,10.0,55.2867546081543,-130.22128295898438,-9999.0,-9999.0,0.0
2017.0,7.0,27.0,19.0,30.0,10.0,55.26721954345703,-129.99801635742188,-9999.0,-9999.0,0.0
2017.0,7.0,27.0,19.0,30.0,10.0,55.24685287475586,-129.77059936523438,-9999.0,-9999.0,0.0
2017.0,7.0,27.0,19.0,30.0,10.0,55.225433349609375,-129.5369110107422,-9999.0,-9999.0,0.0
2017.0,7.0,27.0,19.0,30.0,10.0,55.20553207397461,-129.3239288330078,-9999.0,-9999.0,0.0
2017.0,7.0,27.0,19.0,30.0,10.0,55.18639373779297,-129.12274169921875,-9999.0,-9999.0,0.0
2017.0,7.0,27.0,19.0,30.0,10.0,55.16522216796875,-128.90501403808594,-9999.0,-9999.0,0.0
2017.0,7.0,27.0,19.0,30.0,10.0,55.14519500732422,-128.70257568359375,-9999.0,-9999.0,0.0
2017.0,7.0,27.0,19.0,30.0,10.0,55.1246223449707,-128.4984130859375,-9999.0,-9999.0,0.0
2017.0,7.0,27.0,19.0,30.0,10.0,55.10485076904297,-128.30535888671875,-9999.0,-9999.0,0.0
2017.0,7.0,27.0,19.0,30.0,10.0,55.08550262451172,-128.11929321289062,-9999.0,-9999.0,0.0
2017.0,7.0,27.0,19.0,30.0,10.0,55.06480407714844,-127.92387390136719,-9999.0,-9999.0,0.0
2017.0,7.0,27.0,19.0,30.0,10.0,55.04501724243164,-127.73966979980469,-9999.0,-9999.0,0.0
2017.0,7.0,27.0,19.0,30.0,10.0,55.024105072021484,-127.54837036132812,-9999.0,-9999.0,0.0
2017.0,7.0,27.0,19.0,30.0,10.0,55.004669189453125,-127.3727035522461,-9999.0,-9999.0,0.0
2017.0,7.0,27.0,19.0,30.0,10.0,54.984222412109375,-127.19081115722656,-9999.0,-9999.0,0.0
2017.0,7.0,27.0,19.0,30.0,10.0,54.963661193847656,-127.01056671142578,-9999.0,-9999.0,0.0
2017.0,7.0,27.0,19.0,30.0,10.0,54.94347381591797,-126.83590698242188,-9999.0,-9999.0,0.0
2017.0,7.0,27.0,19.0,30.0,10.0,54.92375946044922,-126.66741180419922,-9999.0,-9999.0,0.0
2017.0,7.0,27.0,19.0,30.0,10.0,54.90339660644531,-126.49579620361328,-9999.0,-9999.0,0.0
2017.0,7.0,27.0,19.0,30.0,10.0,54.88314437866211,-126.32723236083984,-9999.0,-9999.0,0.0
2017.0,7.0,27.0,19.0,30.0,10.0,54.86298751831055,-126.16148376464844,-9999.0,-9999.0,0.0
2017.0,7.0,27.0,19.0,30.0,10.0,54.842498779296875,-125.99520874023438,-9999.0,-9999.0,0.0
2017.0,7.0,27.0,19.0,30.0,10.0,54.821876525878906,-125.829833984375,-9999.0,-9999.0,0.0
2017.0,7.0,27.0,19.0,30.0,10.0,54.80156707763672,-125.66878509521484,-9999.0,-9999.0,0.0
2017.0,7.0,27.0,19.0,30.0,10.0,54.781158447265625,-125.50875854492188,-9999.0,-9999.0,0.0
2017.0,7.0,27.0,19.0,30.0,10.0,54.76056671142578,-125.34916687011719,-9999.0,-9999.0,0.0
2017.0,7.0,27.0,19.0,30.0,10.0,54.739707946777344,-125.18940734863281,-9999.0,-9999.0,0.0
2017.0,7.0,27.0,19.0,30.0,10.0,54.7188720703125,-125.03156280517578,-9999.0,-9999.0,0.0
