Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,Deep_Blue_Aerosol_Optical_Depth_550_Land,AOD_550_Dark_Target_Deep_Blue_Combined,AOD_550_Dark_Target_Deep_Blue_Combined_QA_Flag
2017.0,7.0,30.0,20.0,0.0,10.0,59.00590515136719,-148.97265625,-9999.0,0.058000002754852176,1.0
2017.0,7.0,30.0,20.0,0.0,10.0,59.0126953125,-148.17745971679688,-9999.0,0.05200000246986747,1.0
2017.0,7.0,30.0,20.0,0.0,10.0,59.014625549316406,-147.43724060058594,-9999.0,0.05600000265985727,1.0
2017.0,7.0,30.0,20.0,0.0,10.0,59.01259994506836,-146.74520874023438,-9999.0,0.05100000242237002,1.0
2017.0,7.0,30.0,20.0,0.0,10.0,59.00733184814453,-146.09579467773438,-9999.0,0.043000002042390406,1.0
2017.0,7.0,30.0,20.0,0.0,10.0,58.9993896484375,-145.48428344726562,-9999.0,0.04500000213738531,1.0
2017.0,7.0,30.0,20.0,0.0,10.0,58.98922348022461,-144.90664672851562,-9999.0,0.034000001614913344,1.0
2017.0,7.0,30.0,20.0,0.0,10.0,58.97721481323242,-144.3595733642578,-9999.0,0.028000001329928637,1.0
2017.0,7.0,30.0,20.0,0.0,10.0,58.96364974975586,-143.84011840820312,-9999.0,0.027000001282431185,1.0
2017.0,7.0,30.0,20.0,0.0,10.0,58.94879150390625,-143.34573364257812,-9999.0,0.027000001282431185,1.0
2017.0,7.0,30.0,20.0,0.0,10.0,58.932838439941406,-142.87420654296875,-9999.0,0.026000001234933734,1.0
2017.0,7.0,30.0,20.0,0.0,10.0,58.91596984863281,-142.423583984375,-9999.0,0.03000000142492354,1.0
2017.0,7.0,30.0,20.0,0.0,10.0,58.8983268737793,-141.99215698242188,-9999.0,0.03800000180490315,1.0
2017.0,7.0,30.0,20.0,0.0,10.0,58.88003158569336,-141.57839965820312,-9999.0,0.04800000227987766,1.0
2017.0,7.0,30.0,20.0,0.0,10.0,58.861183166503906,-141.18092346191406,-9999.0,-9999.0,0.0
2017.0,7.0,30.0,20.0,0.0,10.0,58.84186553955078,-140.79852294921875,-9999.0,-9999.0,0.0
2017.0,7.0,30.0,20.0,0.0,10.0,58.82216262817383,-140.43008422851562,-9999.0,-9999.0,0.0
