Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,Deep_Blue_Aerosol_Optical_Depth_550_Land,AOD_550_Dark_Target_Deep_Blue_Combined,AOD_550_Dark_Target_Deep_Blue_Combined_QA_Flag
2017.0,8.0,2.0,18.0,50.0,9.0,66.3468246459961,-132.1818389892578,0.09500000451225787,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,66.3669662475586,-131.16152954101562,0.10400000493973494,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,66.37970733642578,-130.20883178710938,0.08500000403728336,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,66.38636016845703,-129.31443786621094,0.07500000356230885,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,66.387939453125,-128.48098754882812,0.06500000308733433,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,66.38529968261719,-127.6895523071289,0.06600000313483179,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,66.37916564941406,-126.94622039794922,0.06700000318232924,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,66.37001037597656,-126.23877716064453,0.07300000346731395,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,66.35831451416016,-125.56562042236328,0.058000002754852176,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,66.34457397460938,-124.92985534667969,0.05100000242237002,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,66.32906341552734,-124.3246841430664,0.06100000289734453,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,66.31195831298828,-123.74446105957031,-9999.0,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,66.29352569580078,-123.18907165527344,-9999.0,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,66.27395629882812,-122.65670776367188,0.10200000484474003,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,66.25340270996094,-122.14517974853516,0.09100000432226807,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,66.23204803466797,-121.65406036376953,-9999.0,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,66.20995330810547,-121.18079376220703,-9999.0,0.13900000660214573,1.0
2017.0,8.0,2.0,18.0,50.0,9.0,66.18724060058594,-120.72450256347656,-9999.0,0.16700000793207437,1.0
2017.0,8.0,2.0,18.0,50.0,9.0,66.16398620605469,-120.28400421142578,-9999.0,0.21600001025944948,1.0
2017.0,8.0,2.0,18.0,50.0,9.0,66.1402816772461,-119.85830688476562,-9999.0,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,66.11618041992188,-119.44636535644531,-9999.0,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,66.09173583984375,-119.04732513427734,-9999.0,0.18800000892952085,3.0
2017.0,8.0,2.0,18.0,50.0,9.0,66.0669937133789,-118.660400390625,-9999.0,0.14700000698212534,1.0
2017.0,8.0,2.0,18.0,50.0,9.0,66.04200744628906,-118.28479766845703,-9999.0,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,66.01667022705078,-117.91822052001953,0.12000000569969416,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,65.99125671386719,-117.5632553100586,0.10100000479724258,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,65.96552276611328,-117.21563720703125,0.09800000465475023,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,65.93986511230469,-116.87980651855469,0.08400000398978591,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,65.9139404296875,-116.550537109375,0.0740000035148114,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,65.8879623413086,-116.22998046875,0.07700000365730375,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,65.86192321777344,-115.91728210449219,0.07500000356230885,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,65.83576965332031,-115.61128997802734,0.0720000034198165,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,65.80946350097656,-115.31111145019531,0.08600000408478081,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,65.78318786621094,-115.01834106445312,0.0760000036098063,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,65.75689697265625,-114.73208618164062,0.09500000451225787,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,65.73046875,-114.4507064819336,0.13100000622216612,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,65.7040786743164,-114.17558288574219,0.13000000617466867,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,65.67747497558594,-113.90391540527344,0.1170000055572018,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,65.65091705322266,-113.63812255859375,0.12100000574719161,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,65.62428283691406,-113.37663269042969,0.15100000717211515,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,65.59756469726562,-113.11912536621094,0.17400000826455653,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,65.57083129882812,-112.86619567871094,0.16700000793207437,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,65.5440902709961,-112.61748504638672,0.16300000774208456,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,65.51717376708984,-112.37152099609375,0.17900000850204378,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,65.49024963378906,-112.12953186035156,0.20400000968948007,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,65.4632568359375,-111.89081573486328,0.15700000745709985,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,65.43618774414062,-111.65516662597656,0.14300000679213554,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,65.4090576171875,-111.42265319824219,0.19200000911951065,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,65.38182067871094,-111.19277954101562,0.24100001144688576,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,65.35453033447266,-110.96577453613281,0.19400000921450555,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,65.3271484375,-110.74131774902344,0.21000000997446477,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,65.29962921142578,-110.51888275146484,0.20500000973697752,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,65.27203369140625,-110.29887390136719,0.24500001163687557,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,65.24432373046875,-110.0809555053711,0.3220000152941793,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,65.21648406982422,-109.86497497558594,0.23500001116190106,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,65.1884994506836,-109.65072631835938,0.22100001049693674,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,65.16039276123047,-109.43824005126953,0.3020000143442303,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,65.13211822509766,-109.22724914550781,0.37500001781154424,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,65.10372161865234,-109.01791381835938,0.3160000150091946,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,65.07514190673828,-108.80986022949219,0.24400001158937812,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,65.04638671875,-108.60308074951172,0.30100001429673284,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,65.0174560546875,-108.39747619628906,0.23700001125689596,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,64.98829650878906,-108.19280242919922,0.19800000940449536,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,64.9589614868164,-107.98921203613281,0.20300000964198261,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,64.92940521240234,-107.78644561767578,0.20900000992696732,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,64.89961242675781,-107.58441162109375,0.26600001263432205,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,64.86958312988281,-107.38304901123047,0.3120000148192048,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,64.83930206298828,-107.18226623535156,0.3270000155316666,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,64.80875396728516,-106.98196411132812,0.34000001614913344,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,64.7779312133789,-106.78206634521484,0.3800000180490315,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,64.74681091308594,-106.58244323730469,0.3860000183340162,0.42400002013891935,3.0
2017.0,8.0,2.0,18.0,50.0,9.0,64.71537780761719,-106.38304901123047,0.3620000171940774,0.3740000177640468,3.0
2017.0,8.0,2.0,18.0,50.0,9.0,64.68363189697266,-106.18375396728516,0.3180000151041895,0.4090000194264576,3.0
2017.0,8.0,2.0,18.0,50.0,9.0,64.65153503417969,-105.9843978881836,0.370000017574057,0.45500002161134034,3.0
2017.0,8.0,2.0,18.0,50.0,9.0,64.61907958984375,-105.7850341796875,0.4050000192364678,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,64.58627319335938,-105.58560180664062,0.4970000236062333,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,64.55307006835938,-105.38583374023438,0.42800002032890916,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,64.51946258544922,-105.18583679199219,0.3940000187139958,0.48800002317875624,3.0
2017.0,8.0,2.0,18.0,50.0,9.0,64.48542022705078,-104.98532104492188,0.4370000207563862,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,64.45091247558594,-104.78414916992188,0.4390000208513811,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,64.41593933105469,-104.58241271972656,0.4130000196164474,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,64.38050079345703,-104.38006591796875,0.47500002256128937,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,64.34455871582031,-104.1770248413086,0.5390000256011263,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,64.30803680419922,-103.97278594970703,0.452000021468848,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,64.27085876464844,-103.76702880859375,-9999.0,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,64.23318481445312,-103.56067657470703,0.45700002170633525,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,64.19493865966797,-103.35340881347656,-9999.0,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,64.15596008300781,-103.14431762695312,-9999.0,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,64.1163101196289,-102.93384552001953,-9999.0,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,64.07598876953125,-102.72203826904297,-9999.0,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,64.0348892211914,-102.50840759277344,-9999.0,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,63.993011474609375,-102.29297637939453,-9999.0,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,63.95039367675781,-102.07606506347656,-9999.0,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,63.90694046020508,-101.85723876953125,-9999.0,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,63.8626708984375,-101.63667297363281,-9999.0,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,63.81721115112305,-101.41253662109375,-9999.0,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,63.77072525024414,-101.18583679199219,-9999.0,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,63.723236083984375,-100.95674133300781,-9999.0,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,63.674686431884766,-100.72511291503906,-9999.0,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,63.62488555908203,-100.49008178710938,-9999.0,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,63.574134826660156,-100.2532958984375,-9999.0,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,63.521888732910156,-100.0122299194336,0.12600000598467886,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,63.46831512451172,-99.767822265625,0.1110000052722171,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,63.41331100463867,-99.519775390625,-9999.0,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,63.356868743896484,-99.2681884765625,0.06700000318232924,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,63.298587799072266,-99.01142120361328,0.049000002327375114,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,63.23868942260742,-98.75066375732422,0.034000001614913344,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,63.17667770385742,-98.48395538330078,0.04700000223238021,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,63.11304473876953,-98.213623046875,0.03300000156741589,-0.0010000000474974513,3.0
2017.0,8.0,2.0,18.0,50.0,9.0,63.047325134277344,-97.93791961669922,0.0390000018524006,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,62.979488372802734,-97.65689849853516,0.049000002327375114,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,62.90946960449219,-97.37055969238281,0.058000002754852176,-9999.0,0.0
2017.0,8.0,2.0,18.0,50.0,9.0,62.83689880371094,-97.07765197753906,0.06700000318232924,-9999.0,0.0
